zip_code,latest_year,latest_price,cagr,price_volatility,turnover,median_dom,avg_sale_to_list,sold_above_list,off_market_2w,years_covered,afford_score,growth_score,median_dom_score,avg_sale_to_list_score,sold_above_list_score,market_score,stability_score,ftb_score,state,state_code,parent_metro_region,why_it_ranks
39180,2025.0,123550.0,0.3,0.19890045364032094,2.0,92.97321428571429,0.9551794519165043,0.07839250305479763,0.04630443477470238,14.0,0.9985994125647151,1.0,0.9814570132488479,0.660313841853355,0.9216074969452024,0.8544594506824685,0.8010995463596791,0.9332895890222191,Mississippi,MS,"Vicksburg, MS","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
70560,2025.0,150250.0,0.3,0.203814345748749,2.0,104.24702380952381,0.9234679837380952,0.09185925047214286,0.08222134581119048,14.0,0.9982942662201854,1.0,0.979184067780338,0.6839791166133617,0.9081407495278572,0.8571013113071856,0.796185654251251,0.9331061691415488,Louisiana,LA,"Lafayette, LA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
47167,2025.0,185500.0,0.3,0.16724295478813708,2.0,87.11607142857144,0.9510386540985714,0.14062399789814287,0.0952664003329881,14.0,0.997891404473194,1.0,0.9826378888248848,0.6634039894786781,0.8593760021018572,0.8351392934684734,0.8327570452118629,0.9329603717145156,Indiana,IN,"Louisville, KY","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
77071,2025.0,160899.0,0.3,0.14349057643669522,2.0,39.739285714285714,0.9590599488804763,0.19003208190232143,0.3521519030588041,14.0,0.9981725619721368,1.0,0.9921896601382488,0.6574179485966595,0.8099679180976785,0.8198585089441957,0.8565094235633048,0.9328014374607925,Texas,TX,"Houston, TX","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
73644,2025.0,182450.0,0.3,0.18598522765526476,2.0,111.58555194805196,0.9492344760106819,0.10723132479483767,0.12637512750920563,14.0,0.997926262014423,1.0,0.977704525816925,0.6647503910368046,0.8927686752051623,0.8450745306862973,0.8140147723447353,0.9326450402283327,Oklahoma,OK,"Elk City, OK","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
52803,2025.0,151200.0,0.3,0.14061462185133444,2.0,190.99318181818177,0.9560273235748161,0.1737886097758225,0.14722646778932358,14.0,0.9982834089532452,1.0,0.9616949230205278,0.6596811018098387,0.8262113902241774,0.815862471684848,0.8593853781486656,0.9322726177771476,Iowa,IA,"Davenport, IA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
40219,2025.0,199100.0,0.3,0.07878984871535939,2.0,41.820238095238096,0.9892610285788095,0.2881723806848214,0.4743066896048712,14.0,0.9977359741254186,1.0,0.9917701132872504,0.634879829418799,0.7118276193151786,0.7794925206737426,0.9212101512846406,0.9322622438050283,Kentucky,KY,"Louisville, KY","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
35150,2025.0,194990.0,0.3,0.16970792857883674,2.0,109.02916666666667,0.9386593798465909,0.15029474662154763,0.14475877051107683,14.0,0.9977829460908124,1.0,0.9782199260752689,0.6726422538458278,0.8497052533784524,0.8335224777665164,0.8302920714211632,0.9321484612865879,Alabama,AL,"Talladega, AL","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
45885,2025.0,196206.6,0.3,0.18623094740884408,2.0,101.30714285714285,0.9561407139055953,0.11574348703613094,0.15320149026856603,14.0,0.9977690419319077,1.0,0.9797767857142857,0.6595964821600035,0.8842565129638691,0.8412099269460528,0.813769052591156,0.9315870043013543,Ohio,OH,"Wapakoneta, OH","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
50317,2025.0,194950.0,0.3,0.12516362081212826,2.0,52.666666666666664,0.9743619929860714,0.22325695013821428,0.30718333684241067,14.0,0.9977834032388941,1.0,0.9895833333333334,0.6459985126969616,0.7767430498617858,0.8041082986306934,0.8748363791878717,0.931476722669467,Iowa,IA,"Des Moines, IA","well under budget, strong recent growth, healthy market (DOM/sale-to-list), relatively stable"
